"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","30 Dec 2022","-","-","-","7058.28"
"NIFTY500 VALUE 50","29 Dec 2022","-","-","-","6990.96"
"NIFTY500 VALUE 50","28 Dec 2022","-","-","-","6958.72"
"NIFTY500 VALUE 50","27 Dec 2022","-","-","-","6942.72"
"NIFTY500 VALUE 50","26 Dec 2022","-","-","-","6830.05"
"NIFTY500 VALUE 50","23 Dec 2022","-","-","-","6620.31"
"NIFTY500 VALUE 50","22 Dec 2022","-","-","-","6885.53"
"NIFTY500 VALUE 50","21 Dec 2022","-","-","-","6956.16"
"NIFTY500 VALUE 50","20 Dec 2022","-","-","-","7097.03"
"NIFTY500 VALUE 50","19 Dec 2022","-","-","-","7118.68"
"NIFTY500 VALUE 50","16 Dec 2022","-","-","-","7063.96"
"NIFTY500 VALUE 50","15 Dec 2022","-","-","-","7160.02"
"NIFTY500 VALUE 50","14 Dec 2022","-","-","-","7215.33"
"NIFTY500 VALUE 50","13 Dec 2022","-","-","-","7141.01"
"NIFTY500 VALUE 50","12 Dec 2022","-","-","-","7108.71"
"NIFTY500 VALUE 50","09 Dec 2022","-","-","-","7030.17"
"NIFTY500 VALUE 50","08 Dec 2022","-","-","-","7102.85"
"NIFTY500 VALUE 50","07 Dec 2022","-","-","-","7038.80"
"NIFTY500 VALUE 50","06 Dec 2022","-","-","-","7056.97"
"NIFTY500 VALUE 50","05 Dec 2022","-","-","-","7085.41"
"NIFTY500 VALUE 50","02 Dec 2022","-","-","-","7013.35"
"NIFTY500 VALUE 50","01 Dec 2022","-","-","-","6995.52"
"NIFTY500 VALUE 50","30 Nov 2022","-","-","-","6954.91"
"NIFTY500 VALUE 50","29 Nov 2022","-","-","-","6905.10"
"NIFTY500 VALUE 50","28 Nov 2022","-","-","-","6896.97"
"NIFTY500 VALUE 50","25 Nov 2022","-","-","-","6870.42"
"NIFTY500 VALUE 50","24 Nov 2022","-","-","-","6779.01"
"NIFTY500 VALUE 50","23 Nov 2022","-","-","-","6699.18"
"NIFTY500 VALUE 50","22 Nov 2022","-","-","-","6677.06"
"NIFTY500 VALUE 50","21 Nov 2022","-","-","-","6651.27"
"NIFTY500 VALUE 50","18 Nov 2022","-","-","-","6646.07"
"NIFTY500 VALUE 50","17 Nov 2022","-","-","-","6652.21"
"NIFTY500 VALUE 50","16 Nov 2022","-","-","-","6653.77"
"NIFTY500 VALUE 50","15 Nov 2022","-","-","-","6690.88"
"NIFTY500 VALUE 50","14 Nov 2022","-","-","-","6668.70"
"NIFTY500 VALUE 50","11 Nov 2022","-","-","-","6635.61"
"NIFTY500 VALUE 50","10 Nov 2022","-","-","-","6576.79"
"NIFTY500 VALUE 50","09 Nov 2022","-","-","-","6647.81"
"NIFTY500 VALUE 50","07 Nov 2022","-","-","-","6668.24"
"NIFTY500 VALUE 50","04 Nov 2022","-","-","-","6570.39"
"NIFTY500 VALUE 50","03 Nov 2022","-","-","-","6514.56"
"NIFTY500 VALUE 50","02 Nov 2022","-","-","-","6491.47"
"NIFTY500 VALUE 50","01 Nov 2022","-","-","-","6475.70"
"NIFTY500 VALUE 50","31 Oct 2022","-","-","-","6435.24"
"NIFTY500 VALUE 50","28 Oct 2022","-","-","-","6408.04"
"NIFTY500 VALUE 50","27 Oct 2022","-","-","-","6411.42"
"NIFTY500 VALUE 50","25 Oct 2022","-","-","-","6316.78"
"NIFTY500 VALUE 50","24 Oct 2022","-","-","-","6291.81"
"NIFTY500 VALUE 50","21 Oct 2022","-","-","-","6249.94"
"NIFTY500 VALUE 50","20 Oct 2022","-","-","-","6255.41"
"NIFTY500 VALUE 50","19 Oct 2022","-","-","-","6181.13"
"NIFTY500 VALUE 50","18 Oct 2022","-","-","-","6198.04"
"NIFTY500 VALUE 50","17 Oct 2022","-","-","-","6124.18"
"NIFTY500 VALUE 50","14 Oct 2022","-","-","-","6114.92"
"NIFTY500 VALUE 50","13 Oct 2022","-","-","-","6115.82"
"NIFTY500 VALUE 50","12 Oct 2022","-","-","-","6135.98"
"NIFTY500 VALUE 50","11 Oct 2022","-","-","-","6055.77"
"NIFTY500 VALUE 50","10 Oct 2022","-","-","-","6164.74"
"NIFTY500 VALUE 50","07 Oct 2022","-","-","-","6212.16"
"NIFTY500 VALUE 50","06 Oct 2022","-","-","-","6208.82"
"NIFTY500 VALUE 50","04 Oct 2022","-","-","-","6123.68"
"NIFTY500 VALUE 50","03 Oct 2022","-","-","-","5983.02"
"NIFTY500 VALUE 50","30 Sep 2022","-","-","-","6034.29"
"NIFTY500 VALUE 50","29 Sep 2022","-","-","-","5935.15"
"NIFTY500 VALUE 50","28 Sep 2022","-","-","-","5887.75"
"NIFTY500 VALUE 50","27 Sep 2022","-","-","-","5973.54"
"NIFTY500 VALUE 50","26 Sep 2022","-","-","-","5951.13"
"NIFTY500 VALUE 50","23 Sep 2022","-","-","-","6155.17"
"NIFTY500 VALUE 50","22 Sep 2022","-","-","-","6297.11"
"NIFTY500 VALUE 50","21 Sep 2022","-","-","-","6322.67"
"NIFTY500 VALUE 50","20 Sep 2022","-","-","-","6391.24"
"NIFTY500 VALUE 50","19 Sep 2022","-","-","-","6342.13"
"NIFTY500 VALUE 50","16 Sep 2022","-","-","-","6376.44"
"NIFTY500 VALUE 50","15 Sep 2022","-","-","-","6520.96"
"NIFTY500 VALUE 50","14 Sep 2022","-","-","-","6518.36"
"NIFTY500 VALUE 50","13 Sep 2022","-","-","-","6464.87"
"NIFTY500 VALUE 50","12 Sep 2022","-","-","-","6445.12"
"NIFTY500 VALUE 50","09 Sep 2022","-","-","-","6410.73"
"NIFTY500 VALUE 50","08 Sep 2022","-","-","-","6414.23"
"NIFTY500 VALUE 50","07 Sep 2022","-","-","-","6396.43"
"NIFTY500 VALUE 50","06 Sep 2022","-","-","-","6372.07"
"NIFTY500 VALUE 50","05 Sep 2022","-","-","-","6335.38"
"NIFTY500 VALUE 50","02 Sep 2022","-","-","-","6275.36"
"NIFTY500 VALUE 50","01 Sep 2022","-","-","-","6315.87"
"NIFTY500 VALUE 50","30 Aug 2022","-","-","-","6372.26"
"NIFTY500 VALUE 50","29 Aug 2022","-","-","-","6266.37"
"NIFTY500 VALUE 50","26 Aug 2022","-","-","-","6337.80"
"NIFTY500 VALUE 50","25 Aug 2022","-","-","-","6272.11"
"NIFTY500 VALUE 50","24 Aug 2022","-","-","-","6234.83"
"NIFTY500 VALUE 50","23 Aug 2022","-","-","-","6203.40"
"NIFTY500 VALUE 50","22 Aug 2022","-","-","-","6114.94"
"NIFTY500 VALUE 50","19 Aug 2022","-","-","-","6216.46"
"NIFTY500 VALUE 50","18 Aug 2022","-","-","-","6307.99"
"NIFTY500 VALUE 50","17 Aug 2022","-","-","-","6324.04"
"NIFTY500 VALUE 50","16 Aug 2022","-","-","-","6270.19"
"NIFTY500 VALUE 50","12 Aug 2022","-","-","-","6235.50"
"NIFTY500 VALUE 50","11 Aug 2022","-","-","-","6149.93"
"NIFTY500 VALUE 50","10 Aug 2022","-","-","-","6144.56"
"NIFTY500 VALUE 50","08 Aug 2022","-","-","-","6147.07"
"NIFTY500 VALUE 50","05 Aug 2022","-","-","-","6134.27"
"NIFTY500 VALUE 50","04 Aug 2022","-","-","-","6109.49"
"NIFTY500 VALUE 50","03 Aug 2022","-","-","-","6125.99"
"NIFTY500 VALUE 50","02 Aug 2022","-","-","-","6178.47"
"NIFTY500 VALUE 50","01 Aug 2022","-","-","-","6138.32"
"NIFTY500 VALUE 50","29 Jul 2022","-","-","-","6055.32"
"NIFTY500 VALUE 50","28 Jul 2022","-","-","-","5970.50"
"NIFTY500 VALUE 50","27 Jul 2022","-","-","-","5926.18"
"NIFTY500 VALUE 50","26 Jul 2022","-","-","-","5872.25"
"NIFTY500 VALUE 50","25 Jul 2022","-","-","-","5897.53"
"NIFTY500 VALUE 50","22 Jul 2022","-","-","-","5894.91"
"NIFTY500 VALUE 50","21 Jul 2022","-","-","-","5885.35"
"NIFTY500 VALUE 50","20 Jul 2022","-","-","-","5824.99"
"NIFTY500 VALUE 50","19 Jul 2022","-","-","-","5798.44"
"NIFTY500 VALUE 50","18 Jul 2022","-","-","-","5757.57"
"NIFTY500 VALUE 50","15 Jul 2022","-","-","-","5650.55"
"NIFTY500 VALUE 50","14 Jul 2022","-","-","-","5651.88"
"NIFTY500 VALUE 50","13 Jul 2022","-","-","-","5669.61"
"NIFTY500 VALUE 50","12 Jul 2022","-","-","-","5655.18"
"NIFTY500 VALUE 50","11 Jul 2022","-","-","-","5713.25"
"NIFTY500 VALUE 50","08 Jul 2022","-","-","-","5660.83"
"NIFTY500 VALUE 50","07 Jul 2022","-","-","-","5655.04"
"NIFTY500 VALUE 50","06 Jul 2022","-","-","-","5529.46"
"NIFTY500 VALUE 50","05 Jul 2022","-","-","-","5529.72"
"NIFTY500 VALUE 50","04 Jul 2022","-","-","-","5542.07"
"NIFTY500 VALUE 50","01 Jul 2022","-","-","-","5529.39"
"NIFTY500 VALUE 50","30 Jun 2022","-","-","-","5541.62"
"NIFTY500 VALUE 50","29 Jun 2022","-","-","-","5580.30"
"NIFTY500 VALUE 50","28 Jun 2022","-","-","-","5557.83"
"NIFTY500 VALUE 50","27 Jun 2022","-","-","-","5495.65"
"NIFTY500 VALUE 50","24 Jun 2022","-","-","-","5406.02"
"NIFTY500 VALUE 50","23 Jun 2022","-","-","-","5358.14"
"NIFTY500 VALUE 50","22 Jun 2022","-","-","-","5347.86"
"NIFTY500 VALUE 50","21 Jun 2022","-","-","-","5442.12"
"NIFTY500 VALUE 50","20 Jun 2022","-","-","-","5270.00"
"NIFTY500 VALUE 50","17 Jun 2022","-","-","-","5430.39"
"NIFTY500 VALUE 50","16 Jun 2022","-","-","-","5478.37"
"NIFTY500 VALUE 50","15 Jun 2022","-","-","-","5669.02"
"NIFTY500 VALUE 50","14 Jun 2022","-","-","-","5703.97"
"NIFTY500 VALUE 50","13 Jun 2022","-","-","-","5745.30"
"NIFTY500 VALUE 50","10 Jun 2022","-","-","-","5934.35"
"NIFTY500 VALUE 50","09 Jun 2022","-","-","-","5977.93"
"NIFTY500 VALUE 50","08 Jun 2022","-","-","-","5992.46"
"NIFTY500 VALUE 50","07 Jun 2022","-","-","-","5986.00"
"NIFTY500 VALUE 50","06 Jun 2022","-","-","-","5963.62"
"NIFTY500 VALUE 50","03 Jun 2022","-","-","-","5971.74"
"NIFTY500 VALUE 50","02 Jun 2022","-","-","-","6032.68"
"NIFTY500 VALUE 50","01 Jun 2022","-","-","-","5986.47"
"NIFTY500 VALUE 50","31 May 2022","-","-","-","5973.92"
"NIFTY500 VALUE 50","30 May 2022","-","-","-","5913.71"
"NIFTY500 VALUE 50","27 May 2022","-","-","-","5825.89"
"NIFTY500 VALUE 50","26 May 2022","-","-","-","5868.92"
"NIFTY500 VALUE 50","25 May 2022","-","-","-","5803.42"
"NIFTY500 VALUE 50","24 May 2022","-","-","-","5861.75"
"NIFTY500 VALUE 50","23 May 2022","-","-","-","5920.97"
"NIFTY500 VALUE 50","20 May 2022","-","-","-","6054.35"
"NIFTY500 VALUE 50","19 May 2022","-","-","-","5932.27"
"NIFTY500 VALUE 50","18 May 2022","-","-","-","6039.07"
"NIFTY500 VALUE 50","17 May 2022","-","-","-","6095.27"
"NIFTY500 VALUE 50","16 May 2022","-","-","-","5867.45"
"NIFTY500 VALUE 50","13 May 2022","-","-","-","5819.29"
"NIFTY500 VALUE 50","12 May 2022","-","-","-","5883.02"
"NIFTY500 VALUE 50","11 May 2022","-","-","-","6009.86"
"NIFTY500 VALUE 50","10 May 2022","-","-","-","6077.59"
"NIFTY500 VALUE 50","09 May 2022","-","-","-","6244.05"
"NIFTY500 VALUE 50","06 May 2022","-","-","-","6311.03"
"NIFTY500 VALUE 50","05 May 2022","-","-","-","6357.36"
"NIFTY500 VALUE 50","04 May 2022","-","-","-","6352.68"
"NIFTY500 VALUE 50","02 May 2022","-","-","-","6429.98"
"NIFTY500 VALUE 50","29 Apr 2022","-","-","-","6420.40"
"NIFTY500 VALUE 50","28 Apr 2022","-","-","-","6523.47"
"NIFTY500 VALUE 50","27 Apr 2022","-","-","-","6466.73"
"NIFTY500 VALUE 50","26 Apr 2022","-","-","-","6527.55"
"NIFTY500 VALUE 50","25 Apr 2022","-","-","-","6448.04"
"NIFTY500 VALUE 50","22 Apr 2022","-","-","-","6656.76"
"NIFTY500 VALUE 50","21 Apr 2022","-","-","-","6741.12"
"NIFTY500 VALUE 50","20 Apr 2022","-","-","-","6687.52"
"NIFTY500 VALUE 50","19 Apr 2022","-","-","-","6674.91"
"NIFTY500 VALUE 50","18 Apr 2022","-","-","-","6684.01"
"NIFTY500 VALUE 50","13 Apr 2022","-","-","-","6679.57"
"NIFTY500 VALUE 50","12 Apr 2022","-","-","-","6635.21"
"NIFTY500 VALUE 50","11 Apr 2022","-","-","-","6784.34"
"NIFTY500 VALUE 50","08 Apr 2022","-","-","-","6756.48"
"NIFTY500 VALUE 50","07 Apr 2022","-","-","-","6658.42"
"NIFTY500 VALUE 50","06 Apr 2022","-","-","-","6725.87"
"NIFTY500 VALUE 50","05 Apr 2022","-","-","-","6638.69"
"NIFTY500 VALUE 50","04 Apr 2022","-","-","-","6589.70"
"NIFTY500 VALUE 50","01 Apr 2022","-","-","-","6498.19"
